id,raw_id,url,title,category,published_at,source_name,collected_at,summarized
1,1,https://www.bbc.co.uk/news/articles/cq56pzqy6jvo?at_medium=RSS&at_campaign=rss,I survived two years as prime minister in a hit new game - then my cabinet deserted me,일반,2026-08-15T23:45:44+00:00,BBC Technology,2026-08-16T13:35:39.298720+00:00,1
2,2,https://www.bbc.co.uk/news/articles/cp3rprx2wl4o?at_medium=RSS&at_campaign=rss,Secondhand book sales are booming. Is it because of AI?,AI,2026-08-15T11:25:32+00:00,BBC Technology,2026-08-16T13:35:39.298720+00:00,1
3,3,https://www.bbc.co.uk/news/articles/cz97ljy91zxo?at_medium=RSS&at_campaign=rss,Why tech bosses keep sharing their manifestos about AI,AI,2026-08-14T23:06:27+00:00,BBC Technology,2026-08-16T13:35:39.298720+00:00,1
4,4,https://www.bbc.co.uk/news/articles/c9826zl0945o?at_medium=RSS&at_campaign=rss,Protein or pickled garlic? What's new in ice cream,일반,2026-08-14T21:20:19+00:00,BBC Technology,2026-08-16T13:35:39.298720+00:00,1
5,5,https://www.bbc.co.uk/news/articles/cvglzlj81x2o?at_medium=RSS&at_campaign=rss,Bumble divides users by ditching its signature 'women-first' chat rule,일반,2026-08-13T14:09:05+00:00,BBC Technology,2026-08-16T13:35:39.298720+00:00,1
6,6,https://www.bbc.co.uk/news/articles/crrv1rjwgl9o?at_medium=RSS&at_campaign=rss,Flock boss admits surveillance firm took too long to act over police abuse,일반,2026-08-13T13:02:24+00:00,BBC Technology,2026-08-16T13:35:39.298720+00:00,1
7,7,https://www.bbc.co.uk/news/articles/cp30pz8d09jo?at_medium=RSS&at_campaign=rss,Twitch users outraged as Amazon uses their content to train AI in opt-out feature,AI,2026-08-13T10:39:02+00:00,BBC Technology,2026-08-16T13:35:39.298720+00:00,1
8,8,https://www.bbc.co.uk/news/videos/cwyq22g0ylxo?at_medium=RSS&at_campaign=rss,Amazon is using Twitch to train generative AI,AI,2026-08-13T07:04:31+00:00,BBC Technology,2026-08-16T13:35:39.298720+00:00,1
9,9,https://www.bbc.co.uk/news/articles/cwymw4434v7o?at_medium=RSS&at_campaign=rss,Why Japanese firms are being so slow to use AI,AI,2026-08-12T23:00:47+00:00,BBC Technology,2026-08-16T13:35:39.298720+00:00,1
10,10,https://www.bbc.co.uk/news/articles/cgewpqxyrddo?at_medium=RSS&at_campaign=rss,Discord ordered to suspend livestreams in Brazil,일반,2026-08-12T17:10:31+00:00,BBC Technology,2026-08-16T13:35:39.298720+00:00,1
11,11,https://www.bbc.co.uk/news/articles/c872r52x7jgo?at_medium=RSS&at_campaign=rss,Tokenomics: Why making AI pay is tricky,AI,2026-08-11T23:03:52+00:00,BBC Technology,2026-08-16T13:35:39.298720+00:00,1
12,12,https://www.bbc.co.uk/news/articles/cn0nww2qlp7o?at_medium=RSS&at_campaign=rss,AI agent hacks gym to get its user a spot in pilates class,AI,2026-08-11T12:09:26+00:00,BBC Technology,2026-08-16T13:35:39.298720+00:00,1
13,13,https://www.bbc.co.uk/news/articles/c78gr0jv0mdo?at_medium=RSS&at_campaign=rss,Wall Street giants hand Nvidia $500bn to fund boom in AI projects,AI,2026-08-11T08:44:52+00:00,BBC Technology,2026-08-16T13:35:39.298720+00:00,1
14,14,https://www.bbc.co.uk/sounds/play/w3ct8jy8?at_medium=RSS&at_campaign=rss,Tech Life,일반,2026-08-11T19:30:00+00:00,BBC Technology,2026-08-16T13:35:39.298720+00:00,1
15,15,https://www.bbc.co.uk/sounds/play/w3ct8jy7?at_medium=RSS&at_campaign=rss,Tech Life,일반,2026-08-04T19:30:00+00:00,BBC Technology,2026-08-16T13:35:39.298720+00:00,1
16,16,https://www.bbc.co.uk/sounds/play/w3ct8jy6?at_medium=RSS&at_campaign=rss,Tech Life,일반,2026-07-28T20:00:00+00:00,BBC Technology,2026-08-16T13:35:39.298720+00:00,1
17,17,https://www.bbc.co.uk/sounds/play/w3ct8jy5?at_medium=RSS&at_campaign=rss,Tech Life,일반,2026-07-21T20:00:00+00:00,BBC Technology,2026-08-16T13:35:39.298720+00:00,1
18,18,https://www.bbc.co.uk/iplayer/episode/m002zxt1?at_medium=RSS&at_campaign=rss,Tech Now,일반,2026-08-01T01:00:12+00:00,BBC Technology,2026-08-16T13:35:39.298720+00:00,1
19,19,https://www.bbc.co.uk/iplayer/episode/m002zn5l?at_medium=RSS&at_campaign=rss,Tech Now,일반,2026-07-25T01:00:00+00:00,BBC Technology,2026-08-16T13:35:39.298720+00:00,1
20,20,https://www.bbc.co.uk/iplayer/episode/m002zc0w?at_medium=RSS&at_campaign=rss,Tech Now,일반,2026-07-18T01:00:00+00:00,BBC Technology,2026-08-16T13:35:39.298720+00:00,1
21,21,https://www.bbc.co.uk/iplayer/episode/m002z2l5?at_medium=RSS&at_campaign=rss,Tech Now,일반,2026-07-11T01:00:00+00:00,BBC Technology,2026-08-16T13:35:39.298720+00:00,1
22,22,https://platform.claude.com/docs/en/release-notes/system-prompts,Claude: System Prompts,일반,2026-08-16T13:35:39.298720+00:00,Hacker News,2026-08-16T13:35:39.298720+00:00,1
23,23,https://blog.alaindichiappari.dev/p/what-to-do-when-tokens-run-out,Is the industry ready for tokens-constrained work?,AI,2026-08-16T13:35:39.298720+00:00,Hacker News,2026-08-16T13:35:39.298720+00:00,1
24,24,https://arxiv.org/abs/2608.08421,A SAT Attack on Tarski's High School Algebra Problem,일반,2026-08-16T13:35:39.298720+00:00,Hacker News,2026-08-16T13:35:39.298720+00:00,1
25,25,https://nazr.com/blog/how-many-employees-100m-arr,How Many Employees Does It Take to Reach $100M ARR Now?,일반,2026-08-16T13:35:39.298720+00:00,Hacker News,2026-08-16T13:35:39.298720+00:00,1
26,26,https://www.asus.com/accessories/bike-booster/asus-oxiis/oxiis-intelligent-bike-booster/,Asus Bike Booster,일반,2026-08-16T13:35:39.298720+00:00,Hacker News,2026-08-16T13:35:39.298720+00:00,1
27,27,https://tasklet.ai/careers/head-of-design-engineering,Tasklet (YC P26) Is Hiring a Head of Design Engineering,일반,2026-08-16T13:35:39.298720+00:00,Hacker News,2026-08-16T13:35:39.298720+00:00,1
28,28,https://hwbusters.com/news/comma-ai-egpu-dock-runs-open-source-firmware-249-bare-799-with-an-rx-9060/,Chestnut – eGPU dock with open-source firmware,일반,2026-08-16T13:35:39.298720+00:00,Hacker News,2026-08-16T13:35:39.298720+00:00,1
29,29,https://www.nature.com/articles/s41586-026-10857-1,Superconducting monolayer cuprate with a single CuO2 plane,일반,2026-08-16T13:35:39.298720+00:00,Hacker News,2026-08-16T13:35:39.298720+00:00,1
30,30,https://brandur.org/fragments/postgres-without-pgbouncer,Does anyone run Postgres without PgBouncer?,일반,2026-08-16T13:35:39.298720+00:00,Hacker News,2026-08-16T13:35:39.298720+00:00,1
31,31,https://duckdb.org/2026/07/31/asynchronous-io,"Asynchronous I/O in DuckDB: Work, Thread, Work",일반,2026-08-16T13:35:39.298720+00:00,Hacker News,2026-08-16T13:35:39.298720+00:00,1
32,32,https://scholar.google.com/scholar?q=%22kidney+disappointment%22,"Research papers using ""kidney disappointment"" instead of ""kidney failure""",AI,2026-08-16T13:35:39.298720+00:00,Hacker News,2026-08-16T13:35:39.298720+00:00,1
33,33,https://rhonabwy.com/2026/08/15/software-engineering-fundamentals-matter-more-than-ever/,Software Engineering fundamentals matter more,일반,2026-08-16T13:35:39.298720+00:00,Hacker News,2026-08-16T13:35:39.298720+00:00,1
34,34,https://www.severe-weather.eu/long-range-2/super-el-nino-growth-accelerating-to-record-strength-fall-winter-2026-2027-forecast-impact-united-states-canada-europe-fa/,Super El Niño Keeps Growing as New Forecasts Reach Record Territory Ahead Winter,일반,2026-08-16T13:35:39.298720+00:00,Hacker News,2026-08-16T13:35:39.298720+00:00,1
35,35,https://www.anthropic.com/research/multiagent-systems,Patterns and problems in emerging multi-agent systems,일반,2026-08-16T13:35:39.298720+00:00,Hacker News,2026-08-16T13:35:39.298720+00:00,1
36,36,https://alz-journals.onlinelibrary.wiley.com/doi/10.1002/dad2.70432,Semaglutide linked to lower predicted dementia risk,일반,2026-08-16T13:35:39.298720+00:00,Hacker News,2026-08-16T13:35:39.298720+00:00,1
37,37,https://www.henrikkarlsson.xyz/p/good-ideas,Cultivating a state of mind where new ideas are born (2023),일반,2026-08-16T13:35:39.298720+00:00,Hacker News,2026-08-16T13:35:39.298720+00:00,1
38,38,https://littlelearner-ll.github.io/,What happens when an LLM never sees material beyond fifth grade?,AI,2026-08-16T13:35:39.298720+00:00,Hacker News,2026-08-16T13:35:39.298720+00:00,1
